Time [s],Channel 6
10.205860000,1
10.205880000,0
10.205936000,1
10.205956000,0
10.206010000,1
10.206030000,0
10.206086000,1
10.206106000,0
10.206162000,1
10.206182000,0
10.206236000,1
10.206256000,0
10.206312000,1
10.206332000,0
10.206386000,1
10.206406000,0
10.206460000,1
10.206480000,0
10.206536000,1
10.206556000,0
10.206610000,1
10.206630000,0
10.206686000,1
10.206706000,0
10.206762000,1
10.206780000,0
10.206836000,1
10.206856000,0
10.206912000,1
10.206932000,0
10.206986000,1
10.207006000,0
10.207062000,1
10.207082000,0
10.207136000,1
10.207156000,0
10.207212000,1
10.207232000,0
10.207286000,1
10.207306000,0
10.207362000,1
10.207382000,0
10.207436000,1
10.207456000,0
10.207512000,1
10.207532000,0
10.207586000,1
10.207606000,0
10.207662000,1
10.207682000,0
10.207736000,1
10.207756000,0
10.207812000,1
10.207832000,0
10.207886000,1
10.207906000,0
10.207962000,1
10.207982000,0
10.208036000,1
10.208056000,0
10.208112000,1
10.208132000,0
10.208188000,1
10.208208000,0
10.208262000,1
10.208282000,0
10.208338000,1
10.208358000,0
10.208412000,1
10.208432000,0
10.208486000,1
10.208506000,0
10.208562000,1
10.208582000,0
10.208638000,1
10.208656000,0
10.208712000,1
10.208732000,0
10.208788000,1
10.208808000,0
10.208862000,1
10.208882000,0
10.208938000,1
10.208958000,0
10.209012000,1
10.209032000,0
10.209088000,1
10.209108000,0
10.209162000,1
10.209182000,0
10.209238000,1
10.209258000,0
10.209312000,1
10.209332000,0
10.209388000,1
10.209408000,0
10.209462000,1
10.209482000,0
10.209538000,1
10.209558000,0
10.209612000,1
10.209632000,0
10.209688000,1
10.209708000,0
10.209762000,1
10.209782000,0
10.209838000,1
10.209858000,0
10.209912000,1
10.209932000,0
10.209988000,1
10.210008000,0
10.210062000,1
10.210082000,0
10.210138000,1
10.210158000,0
10.210212000,1
10.210232000,0
10.210288000,1
10.210308000,0
10.210362000,1
10.210382000,0
10.210438000,1
10.210458000,0
10.210514000,1
10.210532000,0
10.210588000,1
10.210608000,0
10.210664000,1
10.210682000,0
10.210738000,1
10.210758000,0
10.210814000,1
10.210834000,0
10.210888000,1
10.210908000,0
10.210964000,1
10.210984000,0
10.211038000,1
10.211058000,0
10.211114000,1
10.211134000,0
10.211188000,1
10.211208000,0
10.211264000,1
10.211284000,0
10.211338000,1
10.211358000,0
10.211414000,1
10.211434000,0
10.211488000,1
10.211508000,0
10.211564000,1
10.211584000,0
10.211638000,1
10.211658000,0
10.211714000,1
10.211734000,0
10.211790000,1
10.211810000,0
10.211864000,1
10.211942000,0
10.211954000,1
10.211974000,0
10.212006000,1
10.212026000,0
10.212072000,1
10.212092000,0
10.212138000,1
10.212158000,0
10.212204000,1
10.212224000,0
10.212270000,1
10.212290000,0
10.212336000,1
10.212356000,0
10.212402000,1
10.212422000,0
10.212468000,1
10.212488000,0
10.212534000,1
10.212554000,0
10.212600000,1
10.212620000,0
10.212666000,1
10.212686000,0
10.212732000,1
10.212752000,0
10.212798000,1
10.212818000,0
10.212864000,1
10.212884000,0
10.212930000,1
10.212950000,0
10.212996000,1
10.213016000,0
10.213062000,1
10.213082000,0
10.213128000,1
10.213148000,0
10.213194000,1
10.213214000,0
10.213260000,1
10.213280000,0
10.213326000,1
10.213346000,0
10.213392000,1
10.213412000,0
10.213458000,1
10.213478000,0
10.213524000,1
10.213544000,0
10.213590000,1
10.213610000,0
10.213656000,1
10.213676000,0
10.213722000,1
10.213742000,0
10.213788000,1
10.213808000,0
10.213854000,1
10.213874000,0
10.213922000,1
10.213940000,0
10.213986000,1
10.214006000,0
10.214052000,1
10.214072000,0
10.214118000,1
10.214138000,0
10.214184000,1
10.214204000,0
10.214250000,1
10.214270000,0
10.214316000,1
10.214336000,0
10.214382000,1
10.214402000,0
10.214448000,1
10.214468000,0
10.214514000,1
10.214534000,0
10.214582000,1
10.214602000,0
10.214646000,1
10.214666000,0
10.214712000,1
10.214732000,0
10.214778000,1
10.214798000,0
10.214844000,1
10.214864000,0
10.214912000,1
10.214930000,0
10.214978000,1
10.214996000,0
10.215044000,1
10.215062000,0
10.215110000,1
10.215130000,0
10.215176000,1
10.215196000,0
10.215242000,1
10.215262000,0
10.215308000,1
10.215328000,0
10.215374000,1
10.215394000,0
10.215440000,1
10.215460000,0
10.215506000,1
10.215526000,0
10.215572000,1
10.215592000,0
10.215638000,1
10.215658000,0
10.215704000,1
10.215724000,0
10.215770000,1
10.215790000,0
10.215836000,1
10.215856000,0
10.215902000,1
10.215922000,0
10.215968000,1
10.215988000,0
10.216034000,1
10.216054000,0
10.216100000,1
10.216120000,0
10.216166000,1
10.216186000,0
10.216232000,1
10.216252000,0
10.216298000,1
10.216318000,0
10.216364000,1
10.216384000,0
10.216430000,1
10.216450000,0
10.216496000,1
10.216516000,0
10.216562000,1
10.216582000,0
10.216628000,1
10.216648000,0
10.216694000,1
10.216714000,0
10.216760000,1
10.216780000,0
10.216826000,1
10.216846000,0
10.216892000,1
10.216912000,0
10.216958000,1
10.216978000,0
10.217024000,1
10.217044000,0
10.217090000,1
10.217110000,0
10.217156000,1
10.217176000,0
10.217222000,1
10.217242000,0
10.217288000,1
10.217308000,0
10.217354000,1
10.217374000,0
10.217420000,1
10.217440000,0
10.217486000,1
10.217506000,0
10.217552000,1
10.217572000,0
10.217618000,1
10.217638000,0
10.217686000,1
10.217704000,0
10.217750000,1
10.217770000,0
10.217816000,1
10.217836000,0
10.217882000,1
10.217902000,0
10.217948000,1
10.217968000,0
10.218014000,1
10.218034000,0
10.218080000,1
10.218100000,0
10.218146000,1
10.218166000,0
10.218212000,1
10.218232000,0
10.218278000,1
10.218298000,0
10.218344000,1
10.218364000,0
10.218412000,1
10.218432000,0
10.218478000,1
10.218498000,0
10.218542000,1
10.218562000,0
10.218610000,1
10.218628000,0
10.218676000,1
10.218694000,0
10.218742000,1
10.218760000,0
10.218808000,1
10.218826000,0
10.218874000,1
10.218892000,0
10.218940000,1
10.218960000,0
10.219006000,1
10.219026000,0
10.219072000,1
10.219092000,0
10.219138000,1
10.219158000,0
10.219204000,1
10.219224000,0
10.219270000,1
10.219290000,0
10.219336000,1
10.219356000,0
10.219402000,1
10.219422000,0
10.219468000,1
10.219488000,0
10.219534000,1
10.219554000,0
10.219600000,1
10.219620000,0
10.219666000,1
10.219686000,0
10.219732000,1
10.219752000,0
10.219798000,1
10.219818000,0
10.219864000,1
10.219884000,0
10.219930000,1
10.219950000,0
10.219996000,1
10.220016000,0
10.220062000,1
10.220082000,0
10.220128000,1
10.220148000,0
10.220194000,1
10.220214000,0
10.220260000,1
10.220334000,0
10.220348000,1
10.220366000,0
10.220394000,1
10.220412000,0
10.220454000,1
10.220472000,0
10.220514000,1
10.220532000,0
10.220574000,1
10.220592000,0
10.220634000,1
10.220652000,0
10.220694000,1
10.220712000,0
10.220754000,1
10.220772000,0
10.220814000,1
10.220832000,0
10.220874000,1
10.220892000,0
10.220934000,1
10.220952000,0
10.220994000,1
10.221012000,0
10.221054000,1
10.221072000,0
10.221114000,1
10.221132000,0
10.221174000,1
10.221192000,0
10.221234000,1
10.221252000,0
10.221294000,1
10.221312000,0
10.221354000,1
10.221372000,0
10.221414000,1
10.221432000,0
10.221474000,1
10.221492000,0
10.221534000,1
10.221552000,0
10.221594000,1
10.221612000,0
10.221654000,1
10.221672000,0
10.221714000,1
10.221732000,0
10.221774000,1
10.221792000,0
10.221834000,1
10.221852000,0
10.221894000,1
10.221912000,0
10.221954000,1
10.221972000,0
10.222014000,1
10.222032000,0
10.222074000,1
10.222092000,0
10.222134000,1
10.222152000,0
10.222194000,1
10.222212000,0
10.222254000,1
10.222272000,0
10.222316000,1
10.222332000,0
10.222374000,1
10.222392000,0
10.222434000,1
10.222452000,0
10.222494000,1
10.222512000,0
10.222554000,1
10.222572000,0
10.222616000,1
10.222632000,0
10.222674000,1
10.222692000,0
10.222734000,1
10.222752000,0
10.222794000,1
10.222812000,0
10.222854000,1
10.222872000,0
10.222914000,1
10.222932000,0
10.222974000,1
10.222992000,0
10.223034000,1
10.223052000,0
10.223094000,1
10.223112000,0
10.223154000,1
10.223172000,0
10.223214000,1
10.223232000,0
10.223274000,1
10.223292000,0
10.223334000,1
10.223352000,0
10.223396000,1
10.223412000,0
10.223454000,1
10.223472000,0
10.223516000,1
10.223532000,0
10.223576000,1
10.223592000,0
10.223636000,1
10.223652000,0
10.223696000,1
10.223712000,0
10.223756000,1
10.223772000,0
10.223816000,1
10.223832000,0
10.223876000,1
10.223892000,0
10.223936000,1
10.223954000,0
10.223996000,1
10.224014000,0
10.224056000,1
10.224074000,0
10.224116000,1
10.224134000,0
